"U.S. Emissions, Agricultural Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Crop cultivation",315.55092373499997,305.322554338,301.60331588200006,318.32735627700004,314.382400136,314.32714603,324.340726268,310.60995684600005,319.96234458,315.32581800400004,309.34879250100005,322.77166280100005,326.230594699,323.35182898,329.95326763699995,323.380080501,320.035387439,330.81269336500003,326.086687075,326.72268957299997,333.708669793,329.390047262,311.461567802,351.778584195,356.649000334,350.41501503300003,335.86416798600004,339.414146079,361.333649697,339.343139045,319.55298152999995,324.720944945,319.08731024900004
"Livestock",235.59396566,237.85372961000002,241.638983,246.06757886000003,253.10375947,259.23957758,257.10330897,255.50474435,257.37589929,258.09207917000003,256.71648198,257.05282467,258.57058633,259.06127631000004,253.12094761999998,258.43329063,262.22048462,270.42549630999997,267.46798391000004,265.09590132,265.26982593,263.46964639,263.28530634,259.37563909,256.71212393,264.42784425,273.00268329,277.94449728,281.07367740999996,280.71506526999997,280.09954525,280.06181895,274.29583259
"Fuel combustion",44.80116492,44.235713274999995,44.268841591999994,44.3382579,44.672378083,44.557188022000005,44.249847689,44.614128562000005,43.684856151,41.568863745,41.161297967,42.581192476,43.601751154,45.271110167,50.461231221,52.489865929,56.473019203,53.665182504,49.484285152999995,48.011262789,48.163824017,48.366671995000004,49.638384959,47.33164043399999,47.506889484000006,42.509803857,41.496846545,41.145255549,41.126611636,40.977022652,40.396149306000005,41.093698369,40.581365914
"Gross total",595.946054315,587.411997223,587.5111404740001,608.7331930370001,612.158537689,618.123911632,625.693882927,610.7288297580001,621.023100021,614.9867609190001,607.2265724480001,622.4056799470001,628.402932183,627.6842154569999,633.5354464779999,634.3032370599999,638.728891262,654.903372179,643.038956138,639.829853682,647.1423197400001,641.2263656470001,624.385259101,658.4858637189999,660.868013748,657.35266314,650.3636978210001,658.503898908,683.5339387429999,661.035226967,640.048676086,645.876462264,633.964508753
