"U.S. Emissions, Residential Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Fossil fuel combustion: carbon dioxide",338.5676206,347.7104074,353.9678137,366.0817622,357.0472216,353.1335756,383.4744258,365.0333526,331.610159,350.9067836,371.7029341,363.0528468,361.0824958,380.1255382,369.060472,358.8975288,321.7258259,341.1711277,347.8894541,335.9277096,334.4953937,326.3329295,282.5316336,329.2648366,346.7338959,317.6172016,293.191197,293.9655963,338.9396725,342.9048606,314.7950282,318.0335919,334.0653351
"Use of fluorinated gases",0.23051244,0.50493096,0.50493096,0.50493096,0.51357596,7.99619,9.2062226,9.99770576,10.13254896,10.43793794,10.63204647,9.892625795,9.122571365,8.384505035,7.634175325,6.97173633,7.9343745,8.958894945,10.39962834,12.14612942,14.39924946,16.60185555,18.97512668,21.60373352,24.41609417,27.29676498,28.77469317,30.27524266,31.92668296,35.14430534,39.00123205,47.32733603,52.22757136
"Fossil fuel combustion: other greenhouse gases",6.798981703,7.049012078,7.335388752,6.560844472,6.212630091,6.162278941,6.457266266,5.394879775,4.780250203,4.980666662,5.307148014,4.84495368,4.908149147,5.168782643,5.218746303,5.320219142,4.703625279,5.136719957,5.538690758,5.792222134,6.110584239,5.924934299,4.97331204,6.333495665,6.46825472,5.775993377,5.0606391,4.920696676,5.953167456,6.161510599,4.245952149,4.248977522,5.008750848
"Gross total",345.59711474299996,355.264350438,361.8081334120001,373.147537632,363.773427651,367.292044541,399.137914666,380.42593813499997,346.522958163,366.32538820199994,387.642128584,377.790426275,375.113216312,393.678825878,381.913393628,371.18948427199996,334.363825679,355.266742602,363.827773198,353.866061154,355.00522739900003,348.859719349,306.48007232000003,357.202065785,377.61824479,350.689959957,327.02652926999997,329.161535636,376.819522916,384.210676539,358.042212399,369.609905452,391.301657308
