"U.S. Emissions, Waste Management, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Landfills",197.750122,200.3310392,200.0120011,197.7834302,197.4938848,192.3129476,188.5256697,178.0139181,167.4016579,160.0150641,156.4167677,151.6189572,150.1689302,152.8351021,150.2095281,147.6909391,145.2345065,142.7927493,140.4011842,137.9955898,138.991091,129.65678,131.3493084,127.6178132,127.4139697,126.0165353,122.0528636,123.597269,126.3359942,128.6549474,124.0682454,122.0382869,119.76694
"Wastewater treatment",37.46606611,38.12905103,38.92041727,39.1009586,39.7655494,39.574405510000005,39.69304267,39.867299259999996,40.28271372,40.93988028,41.057043820000004,40.56841878,40.8152386,40.82423821,40.81765034,40.72439355,41.071091030000005,41.111947189999995,40.92749374,40.431186249999996,40.55217914,40.8403333,41.49254832,41.29745778,41.325694080000005,41.62077831,41.95880584,42.1798255,42.520978299999996,42.735872959999995,43.20844558,42.71358917,42.67645105
"Composting",0.7296609599999999,0.83389824,0.9381355200000001,1.19872872,1.4732202239999999,1.66779648,1.8953812079999999,2.096906616,2.285077491,2.5595689950000002,2.8601198190000003,2.8774926990000003,2.910501171,3.3170265629999998,3.558509595,3.572407899,3.6123655230000002,3.774304682,3.842058914,3.607525034,3.50676233,3.5762538499999996,3.708496212,3.90133518,4.002097884,4.06637754,4.365191076,4.692029905,4.326705514,4.346743371,4.388805262,4.394101321,4.41263565
"Anaerobic digestion",0.00110647,0.001383087,0.001936322,0.001936322,0.002212939,0.002766174,0.002766174,0.002766174,0.002766174,0.003319409,0.003319409,0.003319409,0.003319409,0.003319409,0.003319409,0.003319409,0.003596026,0.003596026,0.004425878,0.004979113,0.00525573,0.007192052,0.007745287,0.010511461,0.01161793,0.011163439,0.010426332,0.009197731,0.009325348,0.01743493,0.011986003,0.013380139,0.013380139
"Total",235.94695554,239.29537155699998,239.872490212,238.085053842,238.73486736299998,233.55791576399997,230.11685975199998,219.98089015,209.972215285,203.51783278399998,200.33725074800003,195.068188088,193.89798938,196.97968628200002,194.589007444,191.99105995800002,189.921559079,187.682597198,185.175162732,182.03928019699998,183.05528819999998,174.080559202,176.55809821900002,172.82711762099999,172.753379594,171.714854589,168.387286848,170.478322136,173.19300336199998,175.754998661,171.67748224500002,169.15935753,166.869406839
