"U.S. Emissions and Removals, Land Use, Land-Use Change, and Forestry, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Methane",53.1433422822176,52.2158718456452,50.4641468511516,50.66628214123,52.6108315487412,50.0815504316036,51.851135958846,49.7309357523692,50.5040263207312,52.5253149765316,55.7375471085188,51.4780990800244,58.0563571893424,55.079308949924,63.1070717446848,58.5369079769796,54.4901338696708,57.0198966951572,53.5166140065228,55.7248631381652,50.84125656484,53.5932532684388,55.2055140522144,55.5665901354088,51.719427762142,63.6694013789316,51.93382927348,57.6464581130928,55.5241331998164,52.4914534382028,59.30523754449,62.115759724844,58.4394519778188
"Nitrous oxide",4.840354148386,4.3928173703565,3.2808183413945,3.695440884683,4.8201076883725,3.449490745862,4.7899132515045,3.352255233379,3.6251288786905,5.343955333813,7.3439056136595,4.897135583058,8.867443310367,6.8367328093775,13.5674368730655,10.344429936437,7.426115071948,8.91392073292,6.7470002314005,8.4123908236655,4.4026996795485,6.5277108942615,6.866620460595,7.1808517320635,4.988786977752,12.344709687895,5.034873264863,8.2348947060095,7.2636342925225,5.539969359015,9.065491313654,10.7486980947635,9.113734656563
"Carbon dioxide",-1034.678449644028,-1045.5897538067272,-1061.1302191889165,-1045.7082556139599,-1062.6524732227927,-1033.762281842695,-1067.8156304613274,-1038.2780025044347,-1050.4638325680426,-1026.344894698318,-1046.7691802833567,-1036.1276092584333,-991.750344348632,-1019.8243396047656,-936.8582528532409,-976.5779535905706,-1013.8519850578712,-966.2551872274692,-973.0698538960396,-915.0149500066699,-941.568710434999,-1001.8517605175444,-991.3060510748757,-949.3597925590318,-980.3686030678004,-896.2065624959843,-973.7671848118391,-991.883613506878,-978.2874711651926,-921.6074253163428,-972.7654550844181,-983.4181807838532,-921.7917633986787
"Total",-976.6947532134244,-988.9810645907255,-1007.3852539963704,-991.3465325880469,-1005.2215339856789,-980.2312406652295,-1011.1745812509769,-985.1948115186865,-996.3346773686209,-968.4756243879734,-983.6877275611785,-979.7523745953508,-924.8265438489226,-957.9082978454641,-860.1837442354905,-907.696615677154,-951.9357361162523,-900.321369799392,-912.8062396581163,-850.8776960448392,-886.3247541906105,-941.7307963548442,-929.2339165620663,-886.6123506915595,-923.6603883279065,-820.1924514291577,-916.7984822734961,-926.0022606877757,-915.4997036728537,-863.5760025191249,-904.3947262262741,-910.5537229642457,-854.2385767642968
