"Greenhouse Gas Gross Total, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Virginia","137.45903362680386","136.65087486153166","138.44987870173043","138.34737888272576","135.67309495271311","135.51077329074536","141.52369823714162","142.9894541721046","144.4532519405476","146.78563742833913","153.2870972630384","150.11981017723514","147.7848752898447","154.15309889421036","156.0590610402728","155.9579623315817","149.55618393873502","154.59052921081772","143.34287272020728","130.4878795943977","135.03039966196755","124.69825421853734","119.91873644121937","128.17694636889703","128.45590347724115","129.15561778751953","131.97864710531275","126.21724653307281","130.9109936021126","125.83776963216907","121.20045045433223","121.06222633289792","117.70691136134036"
"West Virginia","162.84784845141206","156.40910248048206","158.4446609345599","151.23918685124164","158.42030368095658","156.7107967086737","163.29633878209827","165.46778345110246","168.3047124164318","172.08900590640476","147.5881346339847","139.59926941484798","149.6409301114057","144.9795066213718","143.5863133721361","146.05398658353676","146.70526167877722","148.31612016190857","149.60953328429076","128.39335792642657","137.37454456801478","131.56165203660018","124.89834959654777","128.66815221662972","137.1868287088374","129.08417588822343","127.5648569841608","127.85137407771431","124.97583813437085","118.53908110185122","109.06063915395745","118.7860528860116","114.99249467013405"
"Kansas","119.11230690401935","117.20663662732818","117.34299206497994","126.58345311394167","125.36671729696812","123.71643471055356","129.6574634543648","126.19866486749424","126.15975714423529","126.28991592711891","128.92368210261012","128.60979914445767","128.24798930372427","130.61784636278685","128.84834628723942","126.99142177252159","125.10902624900368","133.75870150495066","131.27850100748327","122.85882145662258","126.64576835891144","122.4174832398666","117.18996200214652","126.10047858906985","124.22570818904079","118.86293746726281","116.82662056853272","113.9631328457156","114.24210505984685","113.35760015897114","108.2403712689147","110.80628313636468","113.07884156686556"
"Tennessee","128.42748870287218","123.8453804458979","130.00494749545436","140.31927526634172","136.306247715566","142.88980645698035","143.59815182933085","146.6469350296245","146.35433766759616","146.80662247564632","152.26834690844473","149.67454557035245","147.64887407603453","146.32272353820886","148.03776623588578","149.65773145294386","151.96422782347503","151.4999702973957","145.72347352998048","123.51406667099134","128.02358024799588","123.95012147779373","117.21594367201716","115.16761913587139","121.2551156199372","116.4150258436709","119.63501069430586","115.60802803812376","111.94875063156393","110.75704058486413","101.95070941632437","111.77225035415394","110.77945631363673"
"New Jersey","116.95264176638938","115.00373031494338","121.70723228387537","119.79956049927698","129.66065884563176","128.29447674925794","131.04134446861002","131.30693674854396","126.64498379138445","131.3621616576872","130.85099096880523","126.46119417931835","125.61324110049136","128.00014940399006","131.04093030077453","132.91964123701183","127.85125748607052","134.3036040440354","127.98223235101764","118.02485815182878","113.88709948147887","112.21395117603318","106.81542592348922","108.54722697732953","114.96205809051351","112.48544367995433","113.88466931495746","106.60567168845587","111.35803562350239","108.76603427593876","91.49163050054025","97.13107135259696","100.32683612168952"
"Arizona","81.02606020055953","80.74509294477305","84.56391313825611","86.97104468985312","90.14098590404923","85.573062480793","87.57807210039248","92.46576269654169","96.40591581580165","100.78856674958895","105.69040791002844","107.63993703908244","107.71239580043701","109.73572209998731","117.00674407144324","117.93006880824996","120.95666219859066","122.70248397425819","123.18469417940078","112.98717801312438","117.39939038049793","114.59388049816103","112.50879898718607","115.30133744935345","114.54046103618032","112.69744033405036","107.78731813143922","107.15980900934844","111.95484129185378","110.11745790483724","97.79519889688518","100.9458445296591","99.27294183546215"
"Arkansas","82.03275577741839","82.31739663992609","82.82779028003411","82.82980156120212","86.88448484273503","90.52223674674869","93.40998150709133","92.06739692088182","94.87422455886055","96.13873834681633","97.47864869453362","95.18077049981262","93.57900096837652","94.9803601226001","95.61323822839228","92.1799458510411","94.67064169592683","95.7157313803968","95.3569678044823","94.24574466788141","101.83268428136651","101.75917645272312","99.77560915299286","99.32662970154198","101.85027060661149","91.13988055178702","94.01048372146633","94.35312087752027","102.60680947697902","93.7798452164849","82.84438891401201","90.5511978171275","91.76589375570376"
"North Dakota","63.284566957231","64.08584016649948","66.94721982580424","68.99997926792716","69.65630291144176","69.30513359030239","69.79472528120229","67.80861800579494","69.72376325608651","70.4321837916389","70.42015498083833","71.59788132948232","69.11904091833983","71.84373529122857","69.8488437103172","72.53198307691288","69.22280728940952","76.499276808671","72.97337259229853","72.89439418670099","76.38504738384141","78.47096317322698","81.23215568092377","89.68290968375055","93.82258662680164","93.31528323366545","86.06727000716123","86.96241838761551","99.8273100915575","104.24480723306382","90.88682213659727","90.30191825578753","89.20310075215208"
"Washington","91.1971591991285","89.89603102449453","97.1771107962619","95.8734653992631","100.3103936938087","97.72157143532685","102.17753106740142","97.27477425584013","103.99961061911257","106.25408455501693","105.18015586115838","95.736311832371","90.63416840378606","91.69112404224387","93.03484930160452","93.95419174619306","91.99841877427791","95.53950089836215","93.19189035734645","90.63416756404555","87.07245456670636","81.21608026541509","79.0924535301693","86.00310983583293","86.14865068313432","88.57892744515622","86.259795106147","89.58892451912726","89.8227990655837","95.08300485825869","81.96790219213833","88.24728322054614","87.7923228264781"
"Nebraska","66.69931957521602","69.43632869087317","68.15493228500141","73.71642124530665","73.52993163846848","74.92340695550789","76.93871991650953","78.29841415012767","80.58149627726159","78.95650558387442","78.21882392342991","82.10369490327665","81.29839023321115","81.74964682450526","82.18804078799072","83.41305712084984","84.4609495450661","86.64718459930955","86.36189933058162","86.29180815619097","87.13905945214057","92.75218304739502","87.92317401320592","93.73035280052277","91.08873241076054","90.49843771144612","89.03205609347688","88.30815097222475","94.4546765275261","91.53190057068441","84.78996209797054","87.06249094289421","87.725559994866"
"Wyoming","80.1407791211493","78.98269519219029","85.05689532853323","82.49701745254725","85.91125593780123","84.03411680364164","85.86443193592868","86.907217829872","93.08361029041487","91.9825188146053","96.0392308980162","98.28854843556988","97.07134252534738","98.16091921509766","100.4461306290489","100.37907874844356","103.57139155935334","107.00557821001986","108.26313213730772","103.13120836242607","104.11463282179133","103.76411839580538","103.13840477440934","105.09746173696814","100.43976921634918","97.59621235076487","91.57478735951605","92.53909020469332","94.24730806934117","87.95855881410161","85.55199048827453","84.52825906755037","83.94742885913087"
"South Carolina","74.92240823587234","74.26829880469177","74.67383124029011","79.3139850905127","81.82572157500206","80.3271790119784","84.54133789245851","86.37574698792253","90.45723502289069","94.30028679151799","97.39986455419302","95.29492361382316","96.40786426627687","97.59155716449256","104.07388043641416","103.30125615321978","104.16885393438943","104.29274544965297","102.087140338302","95.75785946941497","98.06631477437392","93.62794187943243","88.09533616111901","83.46101104556828","87.92928413177512","86.74807723887203","85.8931510629503","83.20179899923286","88.0000756882563","84.17936960817059","77.60186971063251","83.99201671355674","83.24838216156948"
"Mississippi","65.51480361579925","64.63478645098064","65.109571455705","67.57231815926892","67.6264734605666","69.6893011240558","73.1315428757388","73.89025362551065","75.72163147505816","79.97722372458648","80.00557423873971","87.93548866362462","81.05767071840499","82.44209131355974","82.8767295630569","82.12409570946329","83.67806602521317","85.21431332957027","82.20626033563934","76.28195367141933","82.34066109209873","76.29372254254818","77.93302893965577","75.44750335465922","78.12687274735077","79.60477933953129","80.05767440741897","77.45129352992788","80.7585647768852","79.47508137758965","79.91889214936204","79.80577802181419","82.53853038181212"
"New Mexico","79.71665727292977","75.5899183045289","78.11648935154032","82.05586889747794","83.39657730941119","84.33996859980616","85.39376958033283","88.21294459067423","88.0859845416647","89.5510319353324","92.78077593456803","92.4879289160408","91.39500551070867","94.76164561175503","97.15917723404422","98.54404668565923","100.74058926082623","98.53782978943754","97.14976106346221","98.11818536776617","93.67069374512734","95.97180557955124","91.24120997372701","90.95145484988032","83.55674400558937","83.4274824470889","80.10191865993497","80.89306891609894","77.8019917360342","82.51348861615905","76.93453532824483","77.50560099155551","78.82613708375062"
"Utah","66.49851814535806","65.23026377178124","67.67528954607263","70.17550461054292","71.03029880420502","71.74013227180879","72.33044750901124","75.24803937369862","78.7352907225667","76.99197422129816","78.79591384795118","76.98599304383579","78.16478216602214","78.9482796131271","82.25015438526084","84.19029565463288","85.69988837878601","87.16093427043913","87.577447388583","82.01886641820164","81.6947087408258","81.3028228312141","79.502861039415","84.29652031373725","82.81316730384121","80.49517780796462","74.29098209650795","74.23466970098333","75.76429166890895","76.01510134299625","72.74671386391552","77.75588181332125","75.22127808027592"
"Massachusetts","91.2406016900791","89.19891957024528","90.86425006043757","87.08061131445636","87.88911342792639","85.28728660929475","86.29753858170407","92.38932386356413","90.89001924633038","88.51548914858581","89.3308154781106","89.50132283112973","90.01708956326372","92.38522702605223","90.03089978527682","90.65009363374398","84.29771083224254","87.53785775023539","82.81067733079843","78.125736952167","80.14723639722435","76.18611290575429","69.82136942599614","73.7830811623218","72.9340972415562","74.344678741732","71.27995877188101","70.86581163244513","70.94505761395617","70.19796569933874","59.93151969068519","63.75802945156772","66.9607842115714"
"Maryland","82.8503051349824","80.70391933577692","81.06632123063142","83.24777004958507","84.3862725558717","83.71514177447965","86.28358920482897","85.83861948594017","86.81185349270312","89.046634412655","89.6978661151782","89.90426841613522","90.91972323193829","93.2977611567402","94.4751247854423","95.6018674866238","88.5841921151349","89.23903458799913","84.19245098486795","80.4379768603089","80.8957734516131","80.59364976351515","72.25620958618678","71.68817853386757","75.05567714265554","72.80027293289665","70.9040826695602","65.02889848416858","71.8959384872192","66.93082998276725","58.18978487713574","63.281932394728784","61.35291653916011"
"Montana","51.98041880548539","53.64893817069869","53.946959107228764","53.23185603551586","56.086242502754686","56.56491605458952","53.56256258643149","56.36735397336704","57.28602650926412","58.58096351728029","58.38277678365759","56.18205767728063","55.35103212164565","60.22162657873379","60.031956029330516","60.667502978444","62.142018642202665","65.20858217933254","61.53572012528839","58.79977128473059","60.30557986866395","58.75201821574564","53.613989064257424","57.253786871785664","60.19236684689373","59.013455653377726","55.6799647309831","59.02179590400824","57.43896865510951","60.0193160345408","49.57746890365346","54.431622372617895","53.74398104044481"
"Oregon","45.13712904491521","47.47008286942193","48.806736288480465","49.21757609141069","50.702891851647095","49.20935012246757","52.40443679348078","51.22003948541342","57.17595886316313","58.17836135700283","56.48665297202814","55.15501638140727","56.89878456869308","55.989280761207375","55.84436486857566","56.22082650789123","55.39650948367059","59.18172624508573","57.511669352937986","54.916817834689105","53.15565459151445","50.25229431617034","49.72126801706495","52.22154143989271","50.81775792501037","52.26635446083733","50.69945815382077","55.04955581733537","54.271811819604565","55.24462514726577","54.95682019181075","55.341883564331695","52.96781407067974"
"Alaska","41.19318604856036","39.637807555261645","38.88763660526138","40.63568085232389","39.62720956509115","43.88909304230892","45.522257412021006","43.65200940015079","45.49888157466463","46.49025408570965","46.87077955486138","45.28483947911766","51.76023384060218","46.552014633682184","68.52347770445523","61.15502053673359","46.51649799722771","45.23724132782137","40.94473317732055","47.13738124092926","39.670273958339564","38.34164510778632","37.04815896852456","39.55427875511656","35.89627355214092","48.67470133754404","34.160778579574924","35.018691062880904","34.351796281020285","37.394202084068084","35.649801762122465","39.53450621405135","46.86539776502363"
"Nevada","36.640361644716656","38.699071465676994","39.695835960904546","42.64334917641373","44.64579780677525","43.838603301200685","46.543469999414285","46.358389018529","49.50122692558342","50.097516664419786","53.8312531569066","53.03278037041458","49.80720598528347","52.413412505690005","56.75547462985509","59.422581395732884","50.17978825370155","49.58629196736561","48.89299219025011","47.41212206509597","47.28204389626671","43.77017308196821","44.07428657808027","45.68172240626349","46.560754602855674","44.51020164766742","45.421596013062896","45.37384872318954","46.67167491112002","47.33731839898681","42.82607549613795","45.94136054553348","46.43631759367095"
"South Dakota","32.57953357003934","32.647847399719176","33.77254622845377","35.64258217386935","36.48580984792942","36.30356716390296","36.67377698145716","36.039984548092306","36.079099469277736","36.78664661671694","36.51444443002789","38.90756155605563","37.25906159121328","37.819279751934374","39.30237007634179","38.718179331528255","39.66574253858044","40.550808910654595","40.38908493802949","41.60587605569664","40.67033653521406","41.163946558182786","38.85249126618691","43.38366118734141","43.95151761203833","41.76489050521782","41.545303140038","44.32300503563373","46.33019268072343","44.988093908152464","43.29903678996213","44.232022807572214","44.30738777144936"
"Connecticut","45.55718794718209","44.774685479082855","44.73522366568998","42.39628463373461","41.927256281373545","41.28587250153674","44.0079791480176","47.6046534019568","44.803069827492685","45.6680857102195","48.060919527939625","46.429640973876985","44.6656485227019","48.12516886926355","50.17059376398649","48.2665945335155","46.29233483108747","45.377444167997226","42.12025045311754","40.74796414677905","41.23977980500938","39.83933905612074","38.60923025433826","39.31771628193455","39.906669951736774","41.02173345159996","38.618139659765056","37.725396673308744","41.61441549712999","40.98413407778784","38.41508786467352","40.74418118469231","41.5836214434957"
"Idaho","23.213898722264656","24.334337800897018","23.589015564066898","25.197102543652804","27.171665083439628","27.019658982346833","28.43909337688414","28.295376880608668","28.917035494015764","29.60540855544451","34.498079350435134","30.6408393160238","30.33585914794354","31.269573319625533","31.600776057131743","33.10377653295768","34.07611734100239","37.365313554184716","33.13774521786313","32.714579576865674","32.34120857165092","32.71151950996284","35.350328956122624","35.00861072228056","33.211072347385844","35.37963158628015","35.082561883071634","36.21801832384336","36.15743304311482","36.53331033688128","37.31421526814081","39.07353241404202","39.836112602830426"
"Maine","21.652810929260042","21.506567610729316","22.453514117231386","21.745735971644017","22.93129663320986","21.932160147198637","22.855574037717915","23.0545821000105","22.500908846417556","23.823003175383263","25.72159819496805","26.054229812468638","27.408634985172053","27.3784869353385","27.714143144706057","26.552462099738275","25.34710501803496","24.889181370624858","22.950087374419994","21.893701659763323","21.168884752302564","21.07063251268075","18.741636529701967","19.63179088242537","19.803795283375248","19.807924723342396","19.102217655205926","17.63887465231788","17.62297060911782","17.37131693556567","16.43458302638503","17.179252681219808","17.979254962469927"
"Hawaii","20.409124313714102","18.21077116375131","19.628821378146952","18.743675489969835","19.748718221010105","19.91591389246152","19.826853829177107","19.485656681741688","19.662094112456078","18.64284798412438","19.219566881272392","18.69295421587693","19.727087197460794","19.50974275405672","20.307864878776037","21.360524070288168","21.788559608105174","20.984433632208596","19.430278856389844","18.56633653940454","19.179675534282694","19.484492755823226","18.994857051861196","19.047618147576276","19.07390372161946","19.080623750349215","18.987990699910046","19.30955292166977","18.953839393891776","19.36907478985279","15.245555641985078","17.236699729738994","17.758348633445827"
"New Hampshire","17.029326248039066","16.81465468659522","16.845466412077194","17.25242246152222","17.449395549115735","17.705412836655164","18.04918622568308","19.737967823745564","19.168137583418265","19.29280446679504","19.753662585457207","19.41925224943692","19.445064277134332","23.474050354396187","24.598106721363834","23.81056488865263","22.18630724268281","21.796467148588707","21.03784303545555","19.522736691694075","19.12956517664744","18.801575962960758","16.94895602499933","16.770144325515385","17.589522296777456","17.510858983084816","15.877247775038631","15.360616728443896","16.340166462842287","16.108333706540563","14.61034258665739","15.47972628516864","16.13970758145891"
"Delaware","20.12134892576074","19.37279594730838","19.300470276252153","20.66513162545248","20.186602276370962","19.45417043352332","19.577617594255564","18.301546697804813","17.839146837726883","18.00900359826248","18.21154939659356","17.66742615902011","17.681179077149622","18.450384088615596","18.435575168643098","19.25641885908945","18.121272832785472","19.107612588740803","18.009627999595896","13.737814685622805","14.436058927080063","15.438030894826289","16.107137811913553","15.880064398193005","15.781231021986628","15.984415494895577","16.9386358897546","15.537956160922493","15.896563618265645","15.40543516820567","14.040575522260694","14.545397563925825","14.644460864774162"
"Rhode Island","10.298286252435338","12.015000846607636","14.402644714991299","11.944875644896655","14.0136038598057","13.316892929177051","14.818825319189655","14.570150738564179","15.180624555985135","14.40893938746048","13.064009618517296","13.67860803285254","12.944945817390403","12.911000912604504","12.404040587090138","12.542173123087608","11.975889054520847","12.385933155328075","11.864632466503624","12.333322886568984","12.186999114836123","12.119480686759744","11.63901006739863","11.180753703859704","11.71815266653959","11.952978801252067","10.708134886895582","10.966990229930948","12.110313879855317","11.609352758790294","10.977086955614391","11.752760927045713","11.265827921219769"
"Vermont","7.837473520577463","8.036649839217471","8.40551514466419","8.589530176028445","8.431599699811887","8.562719648862192","9.11334729439035","9.180809348480228","9.117772305903332","9.059579802556476","9.453121184347067","9.406376947170301","9.105862638458566","9.387084534324975","9.761514860738403","9.530222084149358","9.510107503630907","9.247379608727117","8.524729988005307","8.830163556309513","8.646487186649404","8.899483036812248","8.348668833448334","8.685640265889754","8.831160893110939","9.113652390311646","8.907562132066504","8.67664239097463","8.822424181577087","9.052121508718553","8.39949636201139","8.453403889358665","8.47328056757945"
