"U.S. Emissions, Commercial Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Fossil fuel combustion: carbon dioxide",228.2925257,232.6602189,228.0378061,222.9854779,224.6976095,227.787093,237.5583012,237.8188613,220.1180075,220.730379,236.5306588,228.4563404,229.0073492,240.1358323,237.9760043,227.1300483,211.8055408,223.0889701,227.5105766,227.7076013,224.2815023,224.5985353,200.4291139,224.3256787,232.5521804,244.8051242,231.8607082,232.4132299,246.2970665,251.7493145,229.2637189,237.5276346,258.7329038
"Landfills and waste services",217.14951338999998,220.195677447,220.326397092,218.219476662,218.258380243,212.82464942399997,209.04446579199998,198.47279188,188.11378378499998,181.273498314,177.895580768,172.512956918,171.09332394999998,174.064642572,171.600826794,168.791293238,166.534690809,164.08479423699998,161.375458721,158.455915396,159.33303041899998,149.896343611,152.027880489,147.985408171,147.730499964,146.346552799,142.64861778800002,144.448218876,146.98760677200002,149.349511951,145.213318654,142.606265909,140.27839905999997
"Use of fluorinated gases",0.015686376,0.016567786,0.034098298,0.311732036,1.560846971,2.342429666,3.416425818,5.008529254,6.687959076,8.3716643,9.651687154,11.59203161,13.7187908,15.94437991,17.99223342,21.42736999,25.15767686,29.76554357,34.91678533,40.56916357,45.47610683,49.56683034,52.71351069,55.44080605,57.55171767,58.85165957,59.47435364,58.88575086,58.52726136,59.82812555,60.82148677,61.88538569,62.91060632
"Fossil fuel combustion: other greenhouse gases",1.548566836,1.580256908,1.571853827,1.56555348,1.534622765,1.537547185,1.606580064,1.579916741,1.418974948,1.442332129,1.555834556,1.490752407,1.491376827,1.575226363,1.563558289,1.515221501,1.403508398,1.485755663,1.521691714,1.523893722,1.496969955,1.467259146,1.285620327,1.448853933,1.523654445,1.671449578,1.647027399,1.641991706,1.669094184,1.704000229,1.616602175,1.643776462,1.739659423
"Gross total",447.006292302,454.452721041,449.970155317,443.08224007800004,446.051459479,444.491719275,451.62577287399995,442.880099175,416.33872530900004,411.817873743,425.633761278,414.05208133499997,415.310840777,431.720081145,429.132622803,418.86393302899995,404.90141686699997,418.42506356999996,425.324512365,428.256573988,430.58760950399994,425.528968397,406.456125406,429.200746854,439.358052479,451.67478614699996,435.630707027,437.389191342,453.48102881600005,462.63095223,436.915126499,443.663062661,463.6615686029999
